ID,Address,Latitude,Longitude,SPD_wind_vuln,SPD_exposure,SPD_tc_1000_ARI_baseline,SPD_tc_1000_ARI_RCP45_2041-2060,SPD_tc_1000_ARI_RCP45_2081-2100,SPD_tc_1000_ARI_RCP85_2041-2060,SPD_tc_1000_ARI_RCP85_2081-2100,SPD_tc_100_ARI_baseline,SPD_tc_100_ARI_RCP45_2041-2060,SPD_tc_100_ARI_RCP45_2081-2100,SPD_tc_100_ARI_RCP85_2041-2060,SPD_tc_100_ARI_RCP85_2081-2100,SPD_tc_10_ARI_baseline,SPD_tc_10_ARI_RCP45_2041-2060,SPD_tc_10_ARI_RCP45_2081-2100,SPD_tc_10_ARI_RCP85_2041-2060,SPD_tc_10_ARI_RCP85_2081-2100,SPD_tc_20_ARI_baseline,SPD_tc_20_ARI_RCP45_2041-2060,SPD_tc_20_ARI_RCP45_2081-2100,SPD_tc_20_ARI_RCP85_2041-2060,SPD_tc_20_ARI_RCP85_2081-2100,SPD_tc_500_ARI_baseline,SPD_tc_500_ARI_RCP45_2041-2060,SPD_tc_500_ARI_RCP45_2081-2100,SPD_tc_500_ARI_RCP85_2041-2060,SPD_tc_500_ARI_RCP85_2081-2100,SPD_tc_50_ARI_baseline,SPD_tc_50_ARI_RCP45_2041-2060,SPD_tc_50_ARI_RCP45_2081-2100,SPD_tc_50_ARI_RCP85_2041-2060,SPD_tc_50_ARI_RCP85_2081-2100,DM_tc_1000_ARI_baseline,DM_tc_1000_ARI_RCP45_2041-2060,DM_tc_1000_ARI_RCP45_2081-2100,DM_tc_1000_ARI_RCP85_2041-2060,DM_tc_1000_ARI_RCP85_2081-2100,DM_tc_100_ARI_baseline,DM_tc_100_ARI_RCP45_2041-2060,DM_tc_100_ARI_RCP45_2081-2100,DM_tc_100_ARI_RCP85_2041-2060,DM_tc_100_ARI_RCP85_2081-2100,DM_tc_10_ARI_baseline,DM_tc_10_ARI_RCP45_2041-2060,DM_tc_10_ARI_RCP45_2081-2100,DM_tc_10_ARI_RCP85_2041-2060,DM_tc_10_ARI_RCP85_2081-2100,DM_tc_20_ARI_baseline,DM_tc_20_ARI_RCP45_2041-2060,DM_tc_20_ARI_RCP45_2081-2100,DM_tc_20_ARI_RCP85_2041-2060,DM_tc_20_ARI_RCP85_2081-2100,DM_tc_500_ARI_baseline,DM_tc_500_ARI_RCP45_2041-2060,DM_tc_500_ARI_RCP45_2081-2100,DM_tc_500_ARI_RCP85_2041-2060,DM_tc_500_ARI_RCP85_2081-2100,DM_tc_50_ARI_baseline,DM_tc_50_ARI_RCP45_2041-2060,DM_tc_50_ARI_RCP45_2081-2100,DM_tc_50_ARI_RCP85_2041-2060,DM_tc_50_ARI_RCP85_2081-2100,45_2041Avg_Loss,45_2081Avg_Loss,85_2041Avg_Loss,85_2081Avg_Loss,45_2041Avg_DM,45_2081Avg_DM,85_2041Avg_DM,85_2081Avg_DM,Baseline_Avg_DM,Index_45_2041Avg_DM,Index_45_2081Avg_DM,Index_85_2041Avg_DM,Index_85_2081Avg_DM,Index_Baseline_Avg_DM
11,"Mid City motor INN , 4740, queensland",-21.1382184,149.1835971,TC_Curve3,869491,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,57274.24272,43455.83599,37694.36569,22335.81028,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
12,"Quest Mackay on Gorden, 4740, queensland",-21.1438078,149.1886144,TC_Curve3,771390,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,50812.23163,38552.89741,33441.46949,19815.75507,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
13,"Hotel Eton,4740, queensland",-21.2627355,148.9762888,TC_Curve3,343511,99.38974,95.07954,100.21709,87.79762,85.418274,59.434216,58.991753,55.514446,51.143005,43.713455,22.007788,20.318863,12.187384,14.0806,8.55243,34.99689,34.449898,27.573643,27.733047,21.710978,78.48948,78.1599,78.92267,69.78675,63.99884,50.24553,49.942104,45.420708,42.938087,36.43047,0.999912661,0.999807093,0.999924985,0.999264477,0.998861274,0.880696905,0.87188074,0.782164135,0.616460324,0.290797895,0.007520988,0.005524355,0.001244004,0.001761069,0.000638003,0.076264602,0.069474365,0.020651068,0.021252245,0.007124381,0.995940856,0.99568836,0.996250461,0.980209322,0.944712751,0.576771259,0.563097463,0.359484683,0.262294259,0.09703375,18554.03256,13788.12158,11403.68502,6601.882532,0.054012921,0.040138807,0.033197438,0.019218839,0.055363993,2,2,1,0,2
14,"Windmill motel and events central, 4740, queensland",-21.1257061,149.1571673,TC_Curve3,69889,101.97864,102.54949,106.46332,99.155624,95.90006,65.65044,65.35943,61.916046,56.21021,49.213253,23.536728,21.984337,13.135722,15.40301,9.530976,38.321957,37.63829,30.819265,30.409489,23.724182,83.769394,84.95543,85.91286,74.38134,67.154144,54.78102,54.77401,49.89676,47.35943,40.110447,0.999945738,0.999951145,0.99997621,0.999908819,0.999834103,0.958592963,0.956416231,0.920953817,0.803174085,0.529896675,0.009938176,0.00748887,0.001480631,0.002244733,0.000763674,0.132062922,0.118308598,0.036885562,0.034300353,0.010283103,0.99845861,0.998760247,0.998960156,0.99140001,0.968277753,0.758315927,0.758079576,0.561045192,0.444941402,0.174510294,4708.184302,3636.637114,3147.350717,1893.552837,0.0673666,0.052034471,0.045033563,0.027093718,0.068635326,3,2,2,1,3
15,"Langfords Hotel, 4740, queensland",-21.1455779,149.1900839,TC_Curve3,130979,99.38802,99.66409,104.564835,96.96822,96.98681,65.105,65.29771,61.9126,55.13504,48.546463,23.342722,22.120821,13.33252,15.102258,9.246266,38.02639,37.319706,30.5683,30.648623,23.95457,82.57156,83.43027,84.15229,73.171814,66.624,54.760235,55.168636,49.587765,47.56795,40.2849,0.999912633,0.999916957,0.999966272,0.999863682,0.999864147,0.954424035,0.95594071,0.920907697,0.770044377,0.499281901,0.009593254,0.007677722,0.001535105,0.002124228,0.000724753,0.125957305,0.112333556,0.03528085,0.035786986,0.010723295,0.99807957,0.998359599,0.998563245,0.989281024,0.965143052,0.757614776,0.771136398,0.547008397,0.454429253,0.179179485,8829.04718,6724.846046,5882.336579,3501.658926,0.067408113,0.051342933,0.044910532,0.026734506,0.0680231,3,2,2,1,3
16,"Mackay Tigrer Moth Museums, 4740, queensland",-21.1660885,149.1820166,TC_Curve2,182762,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999999453,0.999999532,0.999999829,0.999998651,0.999998074,0.996042904,0.995701307,0.990193338,0.958302416,0.793710499,0.00628873,0.004384993,0.000473972,0.000797462,0.000178572,0.205749836,0.184367842,0.03823726,0.03477073,0.006696567,0.999965374,0.999972554,0.999977623,0.999595675,0.997763634,0.945943422,0.946889481,0.822154066,0.725758783,0.291252635,14761.07125,11658.77554,10800.81131,6663.761886,0.080766632,0.063792121,0.059097686,0.036461419,0.08254062,4,3,2,1,4
17,"Mackay Museum, 4740, queensland",-21.163564,149.182973,TC_Curve2,463467,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999999453,0.999999532,0.999999829,0.999998651,0.999998074,0.996042904,0.995701307,0.990193338,0.958302416,0.793710499,0.00628873,0.004384993,0.000473972,0.000797462,0.000178572,0.205749836,0.184367842,0.03823726,0.03477073,0.006696567,0.999965374,0.999972554,0.999977623,0.999595675,0.997763634,0.945943422,0.946889481,0.822154066,0.725758783,0.291252635,37432.66877,29565.54275,27389.82728,16898.66455,0.080766632,0.063792121,0.059097686,0.036461419,0.08254062,4,3,2,1,4
18,"Homebush Mission Hall, 4740, queensland",-21.2713243,149.062899,TC_Curve2,502299,92.796425,88.104614,90.53634,77.95164,83.57165,60.82115,61.280827,57.069813,52.781155,45.299572,22.143343,20.67377,12.274648,14.232024,8.718276,35.33615,34.96101,28.01227,27.968706,21.975346,77.99067,78.49897,78.431435,69.882866,62.5679,50.8982,50.532486,45.985252,43.46969,36.78599,0.999997021,0.999990117,0.999994692,0.999867595,0.999968517,0.989552034,0.99069948,0.973194536,0.923844694,0.641855762,0.004794615,0.003298157,0.000386513,0.000637295,0.000155767,0.123111686,0.113128455,0.021137974,0.020908798,0.004594012,0.999868909,0.999884879,0.999882875,0.998959568,0.993289347,0.882308395,0.872249327,0.681069727,0.528892179,0.169004511,36133.73348,28364.62104,24853.73642,14380.04992,0.071936702,0.056469595,0.049479964,0.028628466,0.073191755,3,2,2,1,3
19,"Hotrod hideout, 4740, queensland",-21.0793877,149.2160026,TC_Curve2,591420,102.44477,104.97898,106.81846,100.98542,96.90508,66.86595,66.93648,63.36722,57.774845,50.383312,23.788965,22.341522,13.338624,15.429928,9.548401,39.016396,38.41799,31.434582,31.042334,24.265303,85.28707,87.038086,87.211044,76.25859,68.938416,55.923527,55.81454,50.87504,47.824043,41.17028,0.999999747,0.999999868,0.999999917,0.999999633,0.999998958,0.997753057,0.997793111,0.994522627,0.977515526,0.867939863,0.007283571,0.005042491,0.00050725,0.000865404,0.00019258,0.264522594,0.235853423,0.04924005,0.044752828,0.008218877,0.999979692,0.99998702,0.999987581,0.999795912,0.998675865,0.964393804,0.963424749,0.881692208,0.773590816,0.384132075,50635.92987,39704.12426,36763.00511,24628.75229,0.085617547,0.06713355,0.062160571,0.041643421,0.08806111,4,3,3,2,4
20,"Yesterdays Memories, 4740, queensland",-21.0899031,149.0393696,TC_Curve2,252395,105.54075,114.097626,119.01325,98.4033,87.466446,64.32073,63.355526,60.52021,55.60973,48.003708,23.514467,21.717783,13.329346,15.258576,9.499178,38.187717,37.837788,30.68351,30.315783,23.876453,85.647835,87.82181,87.0247,77.81054,69.97493,55.38467,55.183292,51.118134,47.693527,40.638355,0.999999885,0.999999987,0.999999996,0.999999289,0.999988366,0.995702267,0.994506317,0.988726049,0.961534603,0.781533035,0.006793399,0.004302567,0.000506049,0.000828349,0.000190173,0.225410733,0.210177962,0.040991579,0.037451897,0.007447058,0.999981481,0.999989376,0.999986975,0.999862733,0.998983741,0.95934952,0.957294008,0.888021609,0.767694474,0.352513356,21004.85297,16815.17195,15409.15262,9783.901417,0.083222144,0.066622445,0.061051735,0.038764244,0.084668983,4,3,3,1,4
21,"Mackay Festival of Arts, 4740, queensland",-21.1440152,149.1819276,TC_Curve2,178079,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999999453,0.999999532,0.999999829,0.999998651,0.999998074,0.996042904,0.995701307,0.990193338,0.958302416,0.793710499,0.00628873,0.004384993,0.000473972,0.000797462,0.000178572,0.205749836,0.184367842,0.03823726,0.03477073,0.006696567,0.999965374,0.999972554,0.999977623,0.999595675,0.997763634,0.945943422,0.946889481,0.822154066,0.725758783,0.291252635,14382.84111,11360.03704,10524.05684,6493.01306,0.080766632,0.063792121,0.059097686,0.036461419,0.08254062,4,3,2,1,4
22,"Historic Wars Tours Pty Ltd, 4740, queensland",-21.1630217,149.1591301,TC_Curve2,856482,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999999453,0.999999532,0.999999829,0.999998651,0.999998074,0.996042904,0.995701307,0.990193338,0.958302416,0.793710499,0.00628873,0.004384993,0.000473972,0.000797462,0.000178572,0.205749836,0.184367842,0.03823726,0.03477073,0.006696567,0.999965374,0.999972554,0.999977623,0.999595675,0.997763634,0.945943422,0.946889481,0.822154066,0.725758783,0.291252635,69175.16675,54636.80302,50616.10438,31228.54919,0.080766632,0.063792121,0.059097686,0.036461419,0.08254062,4,3,2,1,4
23,"Nebo Shire Museum, 4740, queensland",-21.689282,148.6890609,TC_Curve2,529302,91.67738,88.66508,89.44356,90.32747,93.743126,50.348988,49.778137,46.488678,44.091156,37.26249,19.216188,17.917091,10.489627,12.093481,7.3769445,28.321886,28.03925,22.014214,21.598953,16.65264,66.923546,68.0854,66.813,59.067833,54.054237,41.13073,40.259624,36.6002,34.64463,29.639711,0.999996035,0.999991436,0.999992981,0.999994401,0.999997661,0.86693098,0.849179261,0.708347355,0.568209281,0.186805394,0.002274642,0.001632982,0.000244948,0.000369029,0.00011056,0.022839048,0.021281135,0.004639668,0.004174385,0.001182531,0.997785821,0.998353795,0.997722511,0.983740508,0.943809545,0.381743257,0.330745388,0.162439434,0.105265162,0.031696635,21322.59111,15673.02716,13044.34859,7529.20265,0.040284358,0.029610746,0.024644435,0.014224776,0.042795412,2,1,1,0,2
24,"Mackay Base Hospital, 4740, queensland",-21.1465366,149.1552332,TC_Curve4,625860,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999976395,0.999979872,0.999992841,0.999940504,0.999914336,0.824802622,0.812156712,0.648805629,0.288646547,0.061094851,9.17e-05,6.33e-05,6.46e-06,1.1e-05,2.38e-06,0.004088682,0.003557935,0.000601918,0.000544121,9.78e-05,0.998351139,0.998699912,0.998944962,0.979941764,0.894296433,0.234854693,0.238305213,0.072810724,0.042471304,0.006542351,21546.54912,15414.87175,10488.15328,6520.165777,0.034427107,0.024629904,0.016757986,0.01041793,0.034557452,1,1,0,0,1
